step,tokens_processed,train_loss,validation_loss,learning_rate,elapsed_seconds
1,2048,9.251792907714844,,0.0,0.529537700000219
25,51200,5.096123695373535,,0.0014399999999999999,2.7756141999998363
50,102400,4.265372276306152,,0.00294,5.092840099998284
75,153600,3.8514857292175293,,0.0029810105435551936,7.406812600005651
100,204800,4.0045552253723145,3.8334773898124697,0.0029214321670830404,10.254748599996674
125,256000,3.7123069763183594,,0.0028230501360523123,12.573397700005444
150,307200,3.740907669067383,,0.0026888670348286753,14.890380500000902
175,358400,3.4053940773010254,,0.0025229780836230706,17.210464100004174
200,409600,3.610015869140625,3.5348819136619567,0.002330446153836995,20.065686100002495
225,460800,3.3435487747192383,,0.002117147251039863,22.3814538000006
250,512000,3.471153497695923,,0.0018895911813826812,24.702906899998197
275,563200,3.4369568824768066,,0.0016547228746448658,27.026840899998206
300,614400,3.3038766384124756,3.2888936042785644,0.0014197104274637083,29.886808299997938
325,665600,3.231830596923828,,0.0011917263355912275,32.20943050000642
350,716800,3.0668234825134277,,0.0009777285918916166,34.536040999999386
375,768000,3.36613130569458,,0.0007842483308900351,36.86366050000652
400,819200,3.2609763145446777,3.1106269121170045,0.0006171905008850876,39.72556530000293
425,870400,2.820650100708008,,0.00048165364704075915,42.057563900001696
450,921600,3.1891493797302246,,0.00038177430561332434,44.38404380000429
475,972800,3.0942161083221436,,0.00032060075834570816,46.715460799998255
500,1024000,2.8764071464538574,2.9311904907226562,0.0003,49.5866085000016
